t,phase,min_front,min_left,min_right,speed,yaw,dist_to_wp,bearing_to_wp,rc_throttle_norm,rc_yaw_norm
149.844,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0095,0.000,0.0000,0.000,0.000
149.944,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0095,0.000,0.0000,0.000,0.000
150.044,pretrain,50.0000,50.0000,50.0000,0.0268,-0.0095,0.000,0.0000,0.000,0.000
150.144,pretrain,50.0000,50.0000,50.0000,0.0268,-0.0095,0.000,0.0000,0.000,0.000
150.244,pretrain,50.0000,50.0000,50.0000,0.0268,-0.0095,0.000,0.0000,0.000,0.000
150.344,pretrain,50.0000,50.0000,50.0000,0.0267,-0.0096,0.000,0.0000,0.000,0.000
150.444,pretrain,50.0000,50.0000,50.0000,0.0267,-0.0096,0.000,0.0000,0.000,0.000
150.544,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0096,0.000,0.0000,0.000,0.000
150.644,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0096,0.000,0.0000,0.000,0.000
150.744,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0096,0.000,0.0000,0.000,0.000
150.844,pretrain,50.0000,50.0000,50.0000,0.0270,-0.0097,0.000,0.0000,0.000,0.000
150.944,pretrain,50.0000,50.0000,50.0000,0.0270,-0.0097,0.000,0.0000,0.000,0.000
151.044,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0098,0.000,0.0000,0.000,0.000
151.144,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0098,0.000,0.0000,0.000,0.000
151.244,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0098,0.000,0.0000,0.000,0.000
151.344,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0099,0.000,0.0000,0.000,0.000
151.444,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0099,0.000,0.0000,0.000,0.000
151.544,pretrain,50.0000,50.0000,50.0000,0.0270,-0.0099,0.000,0.0000,0.000,0.000
151.644,pretrain,50.0000,50.0000,50.0000,0.0270,-0.0099,0.000,0.0000,0.000,0.000
151.744,pretrain,50.0000,50.0000,50.0000,0.0270,-0.0099,0.000,0.0000,0.000,0.000
151.844,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0100,0.000,0.0000,0.000,0.000
151.944,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0100,0.000,0.0000,0.000,0.000
152.044,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0100,0.000,0.0000,0.000,0.000
152.144,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0100,0.000,0.0000,0.000,0.000
152.244,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0100,0.000,0.0000,0.000,0.000
152.344,pretrain,50.0000,50.0000,50.0000,0.0270,-0.0101,0.000,0.0000,0.000,0.000
152.446,pretrain,50.0000,50.0000,50.0000,0.0270,-0.0101,0.000,0.0000,0.000,0.000
152.544,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0102,0.000,0.0000,0.000,0.000
152.644,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0102,0.000,0.0000,0.000,0.000
152.744,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0102,0.000,0.0000,0.000,0.000
152.844,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0102,0.000,0.0000,0.000,0.000
152.944,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0102,0.000,0.0000,0.000,0.000
153.044,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0103,0.000,0.0000,0.000,0.000
153.144,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0103,0.000,0.0000,0.000,0.000
153.244,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0103,0.000,0.0000,0.000,0.000
153.344,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0104,0.000,0.0000,0.000,0.000
153.444,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0104,0.000,0.0000,0.000,0.000
153.544,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0104,0.000,0.0000,0.000,0.000
153.644,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0104,0.000,0.0000,0.000,0.000
153.744,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0104,0.000,0.0000,0.000,0.000
153.844,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0105,0.000,0.0000,0.000,0.000
153.944,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0105,0.000,0.0000,0.000,0.000
154.044,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0105,0.000,0.0000,0.000,0.000
154.144,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0105,0.000,0.0000,0.000,0.000
154.244,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0105,0.000,0.0000,0.000,0.000
154.344,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0106,0.000,0.0000,0.000,0.000
154.444,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0106,0.000,0.0000,0.000,0.000
154.544,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0107,0.000,0.0000,0.000,0.000
154.644,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0107,0.000,0.0000,0.000,0.000
154.744,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0107,0.000,0.0000,0.000,0.000
154.844,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0107,0.000,0.0000,0.000,0.000
154.944,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0107,0.000,0.0000,0.000,0.000
